data_center_id,node_name,ip_address
str1,g118,10.10.18.6
str1,g119,10.10.18.7
str1,g120,10.10.18.8
str1,g121,10.10.18.9
str1,g122,10.10.18.10
str1,g123,10.10.18.11
str1,g124,10.10.18.12
str1,g125,10.10.18.13
str1,g126,10.10.18.14
str1,g127,10.10.18.15
str1,g128,10.10.21.1
str1,g129,10.10.21.2
str1,g130,10.10.21.3
str1,g131,10.10.21.4
str1,g132,10.10.21.5
str1,g133,10.10.21.6
str1,g134,10.10.21.7
str1,g135,10.10.21.8
str1,g136,10.10.21.9
str1,g137,10.10.21.10
str1,g138,10.10.21.11
str1,g139,10.10.21.12
str1,g140,10.10.21.13
str1,g141,10.10.21.14
str1,g142,10.10.21.15
str1,g143,10.10.21.16
str1,g144,10.10.22.1
str1,g145,10.10.22.2
str1,g146,10.10.22.3
str1,g147,10.10.22.4
str1,g148,10.10.22.5
str1,g149,10.10.22.6
str1,g150,10.10.22.7
str1,g151,10.10.22.8
str1,g152,10.10.22.9
str1,g153,10.10.22.10
str1,g154,10.10.22.11
str1,g155,10.10.22.12
str1,g156,10.10.22.13
str1,g157,10.10.22.14
str1,g158,10.10.22.15
str1,g159,10.10.22.16
str1,g160,10.10.23.1
str1,g161,10.10.23.2
str1,g162,10.10.23.3
str1,g163,10.10.23.4
str1,g164,10.10.23.5
str1,g165,10.10.23.6
str1,g166,10.10.23.7
str1,g167,10.10.23.8
str1,g168,10.10.23.9
str1,g169,10.10.23.10
str1,g170,10.10.23.11
str1,g171,10.10.23.12
str1,g172,10.10.23.13
str1,g173,10.10.23.14
str1,g174,10.10.23.15
str1,g175,10.10.23.16
str1,g176,10.10.24.1
str1,g177,10.10.24.2
str1,g178,10.10.24.3
str1,g179,10.10.24.4
str1,g180,10.10.24.5
str1,g181,10.10.24.6
str1,g182,10.10.24.7
str1,g183,10.10.24.8
str1,g184,10.10.24.9
str1,g185,10.10.24.10
str1,g186,10.10.24.11
str1,g187,10.10.24.12
str1,g188,10.10.24.13
str1,g189,10.10.24.14
str1,g190,10.10.24.15
str1,g191,10.10.24.16
str1,g192,10.10.25.1
str1,g193,10.10.25.2
str1,g194,10.10.25.3
str1,g195,10.10.25.4
str1,g196,10.10.25.5
str1,g197,10.10.25.6
str1,g198,10.10.25.7
str1,g199,10.10.25.8
str1,g200,10.10.25.9
str1,g201,10.10.25.10
str1,g202,10.10.25.11
str1,g203,10.10.25.12
str1,g204,10.10.25.13
str1,g205,10.10.25.14
str1,g206,10.10.25.15
str1,g207,10.10.25.16
str1,g208,10.10.26.1
str1,g209,10.10.26.2
str1,g210,10.10.26.3
str1,g211,10.10.26.4
str1,g212,10.10.26.5
str1,g213,10.10.26.6
str1,g214,10.10.26.7
str1,g215,10.10.26.8
str1,g216,10.10.26.9
str1,g217,10.10.26.10
str1,g218,10.10.26.11
str1,g219,10.10.26.12
str1,g220,10.10.26.13
str1,g221,10.10.26.14
str1,g222,10.10.26.15
str1,g223,10.10.26.16
str1,g224,10.10.27.1
str1,g225,10.10.27.2
str1,g226,10.10.27.3
str1,g227,10.10.27.4
str1,g228,10.10.27.5
str1,g229,10.10.27.6
str1,g230,10.10.27.7
str1,g231,10.10.27.8
str1,g232,10.10.27.9
str1,g233,10.10.27.10
str1,g234,10.10.27.11
str1,g235,10.10.27.12
str1,g236,10.10.27.13
str1,g237,10.10.27.14
str1,g238,10.10.27.15
str1,g239,10.10.27.16
str1,g240,10.10.28.1
str1,g241,10.10.28.2
str1,g242,10.10.28.3
str1,g243,10.10.28.4
str1,g244,10.10.28.5
str1,g245,10.10.28.6
str1,g246,10.10.28.7
str1,g247,10.10.28.8
str1,g248,10.10.28.9
str1,g249,10.10.28.10
str1,g250,10.10.28.11
str1,g251,10.10.28.12
str1,g252,10.10.28.13
str1,g253,10.10.28.14
str1,g254,10.10.28.15
str1,g255,10.10.31.1
str1,g256,10.10.31.2
str1,g257,10.10.31.3
str1,g258,10.10.31.4
str1,g259,10.10.31.5
str1,g260,10.10.31.6
str1,g261,10.10.31.7
str1,g262,10.10.31.8
str1,g263,10.10.31.9
str1,g264,10.10.31.10
str1,g265,10.10.31.11
str1,g266,10.10.31.12
str1,g267,10.10.31.13
str1,g268,10.10.31.14
str1,g269,10.10.31.15
str1,g270,10.10.31.16
str1,g271,10.10.32.1
str1,g272,10.10.32.2
str1,g273,10.10.32.3
str1,g274,10.10.32.4
str1,g275,10.10.32.5
str1,g276,10.10.32.6
str1,g277,10.10.32.7
str1,g278,10.10.32.8
str1,g279,10.10.32.9
str1,g280,10.10.32.10
str1,g281,10.10.32.11
str1,g282,10.10.32.12
str1,g283,10.10.32.13
str1,g284,10.10.32.14
str1,g285,10.10.32.15
str1,g286,10.10.32.16
str1,g287,10.10.33.1
str1,g288,10.10.33.2
str1,g289,10.10.33.3
str1,g290,10.10.33.4
str1,g291,10.10.33.5
str1,g292,10.10.33.6
str1,g293,10.10.33.7
str1,g294,10.10.33.8
str1,g295,10.10.33.9
str1,g296,10.10.33.10
str1,g297,10.10.33.11
